car_title,car_price_highlighted,car_km,car_hand,car_fuel,car_engine,car_hp,car_transmission,car_drive,car_color,car_body
"Toyota Prius, 2020",₪ 110 000,99 000 km,1st hand,Hybrid,1.8 l,122 hp,Variable,FWD,Silver,Liftback
"Hyundai Santa Fe, 2022",₪ 310 000,8 000 km,1st hand,Diesel,2.2 l,230 hp,Robotic,4x4,Light Grey,SUV 5-doors
"Mazda 3, 2016",₪ 74 000,76 500 km,3rd hand,Gasoline,2.0 l,165 hp,Automatic,FWD,Grey,Sedan
"Kia XCeed, 2020",₪ 100 500,34 000 km,1st hand,Gasoline,1.4 l,140 hp,Robotic,FWD,Grey,SUV 5-doors
"Honda Civic, 2015",₪ 45 000,135 000 km,3rd hand,Gasoline,1.8 l,142 hp,Automatic,FWD,White,Hatchback 5-door
"Renault Captur, 2021",₪ 121 000,10 600 km,1st hand,Gasoline,1.3 l,140 hp,Robotic,FWD,White,SUV 5-doors
"SEAT Alhambra, 2018",₪ 130 000,60 000 km,1st hand,Gasoline,1.4 l,150 hp,Robotic,FWD,White,Minivan
"Hyundai Tucson, 2020",₪ 145 000,44 000 km,1st hand,Gasoline,2.0 l,155 hp,Automatic,FWD,White,SUV 5-doors
"Hyundai Terracan, 2006",₪ 40 000,316 550 km,4th hand,Diesel,2.9 l,163 hp,Automatic,4x4,Blue,SUV 5-doors
"Hyundai Tucson, 2016",₪ 100 000,83 000 km,2nd hand,Gasoline,2.0 l,155 hp,Automatic,FWD,White,SUV 5-doors
"Dacia Sandero, 2016",₪ 46 000,27 000 km,2nd hand,Gasoline,0.9 l,90 hp,Robotic,FWD,Red,Hatchback 5-door
"Lexus NX, 2017",₪ 195 000,68 000 km,1st hand,Hybrid,2.5 l,155 hp,Variable,4x4,Golden,SUV 5-doors
"Cadillac ATS, 2016",₪ 82 000,82 500 km,2nd hand,Gasoline,2.0 l,276 hp,Automatic,RWD,White,Sedan
"Skoda Kamiq, 2020",₪ 116 000,16 000 km,1st hand,Gasoline,1.0 l,115 hp,Robotic,FWD,White,SUV 5-doors
"Hyundai i20, 2011",₪ 25 000,170 000 km,3rd hand,Gasoline,1.4 l,100 hp,Automatic,FWD,Grey,Mini 5-doors
"Hyundai Tucson, 2010",₪ 22 000,270 000 km,3rd hand,Gasoline,2.7 l,175 hp,Automatic,4x4,Black,SUV 5-doors
"Mazda CX-5, 2012",₪ 58 000,222 000 km,1st hand,Gasoline,2.0 l,155 hp,Automatic,FWD,Light Grey,SUV 5-doors
"Hyundai ix35, 2013",₪ 55 000,109 000 km,4th hand,Gasoline,2.0 l,163 hp,Automatic,FWD,Grey,SUV 5-doors
"Buick LaCrosse, 2010",₪ 38 000,180 000 km,3rd hand,Gasoline,3.0 l,300 hp,Automatic,FWD,Black,Sedan
"Toyota Yaris, 2015",₪ 55 000,120 000 km,2nd hand,Gasoline,1.3 l,99 hp,Variable,FWD,White,Mini 5-doors
"Mitsubishi Outlander, 2019",₪ 135 400,62 000 km,1st hand,Gasoline,2.0 l,150 hp,Variable,FWD,Red,SUV 5-doors
"Renault Clio, 2014",₪ 32 000,135 000 km,2nd hand,Gasoline,1.2 l,120 hp,Robotic,FWD,Black,Mini 5-doors
"Jeep Grand Cherokee, 2017",₪ 225 000,80 000 km,1st hand,Diesel,3.0 l,250 hp,Automatic,4x4,Black,SUV 5-doors
"SEAT Ibiza, 2012",₪ 29 000,115 000 km,4th hand,Gasoline,1.2 l,105 hp,Robotic,FWD,Red,Mini 3-doors
"Audi Q3, 2017",₪ 128 000,24 000 km,1st hand,Gasoline,1.4 l,150 hp,Robotic,FWD,White,SUV 5-doors
"Kia Rio, 2011",₪ 19 000,203 000 km,3rd hand,Gasoline,1.4 l,97 hp,Automatic,FWD,White,Sedan
"Dacia Duster, 2019",₪ 85 000,66 000 km,1st hand,Gasoline,1.3 l,150 hp,Manual,4x4,White,SUV 5-doors
"Hyundai Santa Fe, 2021",₪ 280 000,30 000 km,1st hand,Diesel,2.2 l,230 hp,Robotic,4x4,White,SUV 5-doors
"Mitsubishi Eclipse Cross, 2020",₪ 128 700,22 000 km,1st hand,Gasoline,1.5 l,163 hp,Variable,FWD,White,SUV 5-doors
"Citroen C5, 2013",₪ 30 000,180 000 km,3rd hand,Gasoline,1.6 l,156 hp,Automatic,FWD,Black,Sedan
"Hyundai Tucson, 2019",₪ 130 000,32 000 km,1st hand,Gasoline,2.0 l,155 hp,Automatic,FWD,White,SUV 5-doors
"Mitsubishi ASX, 2022",₪ 137 000,5 000 km,1st hand,Gasoline,2.0 l,150 hp,Variable,FWD,White,SUV 5-doors
"Suzuki Swift, 2010",₪ 25 000,254 000 km,1st hand,Gasoline,1.5 l,101 hp,Automatic,FWD,Silver,Mini 5-doors
"Nissan Micra, 2018",₪ 45 000,11 100 km,1st hand,Gasoline,1.2 l,80 hp,Manual,FWD,White,Mini 5-doors
"Renault Kadjar, 2019",₪ 89 500,55 000 km,1st hand,Gasoline,1.3 l,140 hp,Robotic,FWD,White,SUV 5-doors
"Suzuki Baleno, 2001",₪ 8 500,156 000 km,3rd hand,Gasoline,1.6 l,96 hp,Automatic,FWD,White,Sedan
"Toyota Land Cruiser, 2016",₪ 289 000,165 000 km,1st hand,Diesel,2.8 l,177 hp,Automatic,4x4,White,SUV 5-doors
"Nissan X-Trail, 2017",₪ 135 000,42 000 km,1st hand,Diesel,1.6 l,130 hp,Variable,FWD,White,SUV 5-doors
"Peugeot 108, 2017",₪ 25 000,130 000 km,2nd hand,Gasoline,1.2 l,82 hp,Manual,FWD,Black,Mini 5-doors
"Peugeot 208 GTi, 2016",₪ 65 000,134 000 km,2nd hand,Gasoline,1.6 l,208 hp,Manual,FWD,Black,Hatchback 3-door
"Toyota Corolla, 2017",₪ 73 000,152 000 km,2nd hand,Gasoline,1.6 l,132 hp,Variable,FWD,White,Sedan
"Renault Captur, 2016",₪ 48 000,87 900 km,2nd hand,Gasoline,1.2 l,118 hp,Robotic,FWD,Beige,SUV 5-doors
"Nissan X-Trail, 2018",₪ 130 000,93 000 km,2nd hand,Diesel,1.6 l,130 hp,Variable,FWD,White,SUV 5-doors
"Honda Civic, 2008",₪ 29 900,140 000 km,3rd hand,Gasoline,1.8 l,140 hp,Automatic,FWD,Blue,Sedan
"Chevrolet Traverse, 2015",₪ 85 000,188 000 km,2nd hand,Gasoline,3.6 l,281 hp,Automatic,FWD,Ruby,SUV 5-doors
"Ford Focus, 2012",₪ 27 000,73 000 km,2nd hand,Gasoline,1.6 l,125 hp,Robotic,FWD,Silver,Hatchback 5-door
"Suzuki Swift, 2018",₪ 69 000,101 000 km,1st hand,Gasoline,1.2 l,90 hp,Automatic,FWD,Red,Mini 5-doors
"Honda Civic, 2010",₪ 24 900,243 000 km,2nd hand,Hybrid,1.3 l,115 hp,Variable,FWD,Grey,Sedan
"BMW X5, 2010",₪ 70 000,250 000 km,3rd hand,Diesel,3.0 l,306 hp,Automatic,4x4,Black,SUV 5-doors
"Mazda 3, 2011",₪ 29 000,228 000 km,3rd hand,Gasoline,1.6 l,105 hp,Automatic,FWD,Blue,Sedan
"Chevrolet Optra, 2007",₪ 13 000,120 000 km,2nd hand,Gasoline,1.6 l,109 hp,Automatic,FWD,Green,Hatchback 5-door
"Hyundai Tucson, 2017",₪ 84 000,136 000 km,2nd hand,Gasoline,1.6 l,132 hp,Automatic,FWD,Grey,SUV 5-doors
"Audi A6, 2015",₪ 118 000,114 000 km,3rd hand,Gasoline,2.8 l,220 hp,Robotic,4x4,Brown,Sedan
"Hyundai Santa Fe, 2017",₪ 114 000,100 000 km,2nd hand,Gasoline,2.4 l,192 hp,Automatic,4x4,Black,SUV 5-doors
"Opel Corsa, 2013",₪ 17 000,158 000 km,2nd hand,Gasoline,1.4 l,100 hp,Manual,FWD,Yellow,Mini 5-doors
"Nissan Juke, 2011",₪ 36 500,140 000 km,3rd hand,Gasoline,1.6 l,190 hp,Variable,4x4,Red,SUV 5-doors
"Skoda Octavia, 2015",₪ 37 000,190 000 km,2nd hand,Gasoline,1.2 l,110 hp,Robotic,FWD,Bronze,Estate 5-door
"Opel Crossland X, 2020",₪ 90 000,10 000 km,2nd hand,Gasoline,1.2 l,130 hp,Automatic,FWD,Silver,SUV 5-doors
"Chevrolet Spark, 2017",₪ 60 000,53 500 km,1st hand,Gasoline,1.4 l,98 hp,Variable,FWD,Black,Mini 5-doors
"Peugeot 308, 2010",₪ 12 000,196 000 km,4th hand,Gasoline,1.6 l,120 hp,Automatic,FWD,Grey,Estate 5-door
"Toyota Corolla, 2015",₪ 59 500,144 000 km,3rd hand,Gasoline,1.6 l,132 hp,Variable,FWD,Black,Sedan
"Chevrolet Spark, 2012",₪ 12 000,186 000 km,3rd hand,Gasoline,1.2 l,82 hp,Manual,FWD,Light blue,Mini 5-doors
"Toyota Auris, 2015",₪ 39 000,240 000 km,2nd hand,Hybrid,1.8 l,99 hp,Variable,FWD,Grey,Estate 5-door
"Peugeot 3008, 2011",₪ 14 400,155 000 km,4th hand,Gasoline,1.6 l,156 hp,Automatic,FWD,Silver,SUV 5-doors
"Audi Q3, 2018",₪ 168 000,90 000 km,2nd hand,Gasoline,2.0 l,180 hp,Robotic,4x4,Black,SUV 5-doors
"Mitsubishi Lancer, 2008",₪ 17 000,189 000 km,3rd hand,Gasoline,1.8 l,143 hp,Variable,FWD,White,Sedan
"Suzuki Swift, 2009",₪ 22 000,214 000 km,4th hand,Gasoline,1.5 l,101 hp,Automatic,FWD,White,Mini 5-doors
"Skoda Kodiaq, 2020",₪ 245 000,31 000 km,1st hand,Gasoline,2.0 l,190 hp,Robotic,4x4,Light Grey,SUV 5-doors
"Mazda 3, 2007",₪ 16 000,220 000 km,4th hand,Gasoline,2.0 l,150 hp,Automatic,FWD,Blue,Sedan
"Toyota C-HR, 2019",₪ 125 000,68 000 km,1st hand,Hybrid,1.8 l,122 hp,Automatic,FWD,White,SUV 5-doors
"Suzuki SX4, 2010",₪ 35 000,59 000 km,1st hand,Gasoline,1.6 l,120 hp,Automatic,FWD,Silver,Hatchback 5-door
"SEAT Toledo, 2001",₪ 6 000,332 000 km,4th hand,Gasoline,1.6 l,100 hp,Automatic,FWD,White,Sedan
"Daihatsu Sirion, 2011",₪ 18 000,175 000 km,3rd hand,Gasoline,1.3 l,87 hp,Automatic,FWD,Silver,Mini 5-doors
"Hyundai Elantra, 2015",₪ 58 000,112 000 km,1st hand,Gasoline,1.6 l,132 hp,Automatic,FWD,White,Sedan
"Ford Focus, 2012",₪ 18 000,146 000 km,3rd hand,Gasoline,1.6 l,125 hp,Robotic,FWD,Silver,Sedan
"Hyundai Sonata, 2016",₪ 110 000,48 700 km,1st hand,Hybrid,2.0 l,193 hp,Automatic,FWD,White,Sedan
"BMW X4, 2021",₪ 400 000,21 000 km,1st hand,Gasoline,2.0 l,184 hp,Automatic,4x4,Black,SUV 5-doors
"Kia Ceed, 2014",₪ 33 000,188 000 km,2nd hand,Gasoline,1.6 l,129 hp,Automatic,FWD,Silver,Estate 5-door
"Hyundai Tucson, 2016",₪ 96 000,108 000 km,3rd hand,Gasoline,2.0 l,155 hp,Automatic,FWD,White,SUV 5-doors
"Honda Civic, 2018",₪ 83 000,73 000 km,2nd hand,Gasoline,1.6 l,125 hp,Variable,FWD,Black,Sedan
"MG 3, 2015",₪ 20 000,84 000 km,3rd hand,Gasoline,1.5 l,106 hp,Manual,FWD,Orange,Mini 5-doors
"Hyundai Veloster, 2013",₪ 39 000,145 000 km,4th hand,Gasoline,1.6 l,140 hp,Manual,FWD,White,Hatchback 4-door
"BMW 3 series, 2019",₪ 280 000,76 000 km,2nd hand,Plug-in Hybrid,2.0 l,292 hp,Automatic,4x4,Black,Sedan
"Volkswagen Jetta, 2010",₪ 16 000,213 000 km,3rd hand,Gasoline,1.4 l,122 hp,Robotic,FWD,Black,Sedan
"Opel Zafira, 2018",₪ 76 000,50 000 km,2nd hand,Gasoline,1.4 l,140 hp,Automatic,FWD,Black,Minivan
"Hyundai Tucson, 2016",₪ 97 999,97 342 km,3rd hand,Gasoline,2.0 l,155 hp,Automatic,4x4,Black,SUV 5-doors
"Mercedes C-Class, 2014",₪ 102 000,150 000 km,3rd hand,Gasoline,1.8 l,204 hp,Automatic,RWD,White,Coupe
"Kia Sportage, 2009",₪ 21 000,300 000 km,1st hand,Gasoline,2.7 l,175 hp,Automatic,4x4,Bronze,SUV 5-doors
"Renault Clio, 2016",₪ 34 000,135 000 km,2nd hand,Gasoline,0.9 l,90 hp,Manual,FWD,Blue,Mini 5-doors
"Honda Civic, 2010",₪ 21 000,210 000 km,4th hand,Gasoline,1.8 l,140 hp,Automatic,FWD,Black,Hatchback 5-door
"BMW 5 series, 1999",₪ 25 000,240 000 km,3rd hand,Gasoline,2.8 l,193 hp,Automatic,RWD,Light Grey,Sedan
"Volkswagen Jetta, 2010",₪ 19 000,210 000 km,3rd hand,Gasoline,1.6 l,102 hp,Automatic,FWD,Black,Sedan
"Kia Sportage, 2017",₪ 83 000,130 000 km,1st hand,Gasoline,1.6 l,132 hp,Automatic,FWD,Bronze,SUV 5-doors
"Hyundai i20, 2013",₪ 30 000,166 000 km,2nd hand,Gasoline,1.4 l,100 hp,Automatic,FWD,Black,Mini 5-doors
"Kia Optima, 2012",₪ 28 000,263 000 km,3rd hand,Gasoline,2.0 l,165 hp,Automatic,FWD,Silver,Sedan
"DS 3 Crossback, 2019",₪ 118 000,34 000 km,1st hand,Gasoline,1.2 l,130 hp,Automatic,FWD,Red,SUV 5-doors
"Audi Q7, 2020",₪ 475 000,35 000 km,1st hand,Diesel,3.0 l,286 hp,Automatic,4x4,Black,SUV 5-doors
"Mercedes E-Class, 2018",₪ 166 000,178 000 km,2nd hand,Diesel,1.9 l,194 hp,Automatic,RWD,"White
                            metallic",Sedan
"Ford Edge, 2017",₪ 143 000,76 000 km,2nd hand,Gasoline,3.5 l,285 hp,Automatic,4x4,"White
                            metallic",SUV 5-doors
"Nissan X-Trail, 2017",₪ 116 000,130 000 km,2nd hand,Diesel,1.6 l,130 hp,Variable,FWD,Blue,SUV 5-doors
"Lexus UX, 2021",₪ 190 000,110 000 km,1st hand,Gasoline,2.0 l,173 hp,Variable,FWD,White,SUV 5-doors
"Hyundai Tucson, 2016",₪ 90 000,130 000 km,2nd hand,Gasoline,2.0 l,155 hp,Automatic,FWD,White,SUV 5-doors
"Suzuki Crossover, 2018",₪ 85 000,110 000 km,2nd hand,Gasoline,1.4 l,140 hp,Automatic,FWD,Light Grey,SUV 5-doors
"Mazda CX-5, 2022",₪ 210 000,10 000 km,1st hand,Gasoline,2.0 l,165 hp,Automatic,4x4,Blue,SUV 5-doors
"Mercedes C-Class, 2013",₪ 34 000,425 000 km,1st hand,Diesel,2.1 l,136 hp,Automatic,RWD,White,Sedan
"Isuzu D-Max, 2006",₪ 36 000,490 000 km,4th hand,Diesel,3.0 l,131 hp,Automatic,4x4,Blue,Pickup double-cab
"Mitsubishi Grandis, 2007",₪ 25 000,237 000 km,3rd hand,Gasoline,2.4 l,165 hp,Automatic,FWD,Blue,Minivan
"Mazda MX-5, 2018",₪ 190 000,62 000 km,2nd hand,Gasoline,2.0 l,160 hp,Manual,RWD,Black,Roadster
"Mazda CX-5, 2012",₪ 60 000,180 000 km,1st hand,Gasoline,2.0 l,155 hp,Automatic,FWD,Black,SUV 5-doors
"Hyundai IONIQ, 2018",₪ 92 000,86 000 km,2nd hand,Hybrid,1.6 l,141 hp,Robotic,FWD,Black,Hatchback 5-door
"BMW 5 series, 2016",₪ 125 000,90 000 km,3rd hand,Gasoline,2.0 l,184 hp,Automatic,RWD,White,Sedan
"Mazda CX-5, 2018",₪ 146 000,30 000 km,1st hand,Gasoline,2.0 l,165 hp,Automatic,FWD,Grey,SUV 5-doors
"SEAT Ibiza, 2016",₪ 52 000,92 000 km,2nd hand,Gasoline,1.0 l,110 hp,Robotic,FWD,Grey,Mini 3-doors
"Smart Fortwo, 2012",₪ 85 000,58 000 km,4th hand,Gasoline,0.8 l,102 hp,Robotic,RWD,Black,Cabrio
"Skoda Octavia, 2019",₪ 115 000,56 000 km,1st hand,Gasoline,1.5 l,150 hp,Robotic,FWD,Grey,Liftback
"Hyundai Tucson, 2009",₪ 12 500,194 000 km,2nd hand,Gasoline,2.7 l,175 hp,Automatic,4x4,Light blue,SUV 5-doors
"Skoda Superb, 2017",₪ 100 000,82 000 km,2nd hand,Gasoline,1.8 l,180 hp,Robotic,FWD,"White
                            metallic",Liftback
"Hyundai Tucson, 2017",₪ 111 000,75 000 km,1st hand,Gasoline,2.0 l,155 hp,Automatic,FWD,Black,SUV 5-doors
"Mazda CX-5, 2015",₪ 70 000,175 000 km,3rd hand,Gasoline,2.0 l,165 hp,Automatic,FWD,Black,SUV 5-doors
"Nissan Maxima, 2004",₪ 4 000,185 000 km,4th hand,Gasoline,2.0 l,140 hp,Automatic,FWD,Blue,Sedan
"Opel Astra, 2015",₪ 25 000,132 000 km,2nd hand,Gasoline,1.4 l,140 hp,Automatic,FWD,White,Sedan
"BMW 3 series, 2012",₪ 85 000,115 000 km,1st hand,Gasoline,2.0 l,184 hp,Automatic,RWD,White,Sedan
"BMW M2, 2017",₪ 350 000,108 000 km,1st hand,Gasoline,3.0 l,370 hp,Robotic,RWD,White,Coupe
"Nissan X-Trail, 2017",₪ 140 000,55 000 km,1st hand,Diesel,1.6 l,130 hp,Variable,FWD,White,SUV 5-doors
"BMW 5 series, 2006",₪ 40 000,257 000 km,4th hand,Gasoline,3.0 l,258 hp,Automatic,RWD,White,Sedan
"Chevrolet Malibu, 2009",₪ 10 000,20 000 km,3rd hand,Gasoline,2.4 l,169 hp,Automatic,FWD,Black,Sedan
"Mitsubishi Outlander, 2012",₪ 46 000,220 000 km,2nd hand,Gasoline,2.0 l,147 hp,Variable,FWD,White,SUV 5-doors
"Audi A1, 2016",₪ 75 990,77 000 km,1st hand,Gasoline,1.0 l,95 hp,Robotic,FWD,Silver,Mini 3-doors
"Subaru Impreza, 2007",₪ 10 500,238 000 km,3rd hand,Gasoline,1.5 l,105 hp,Automatic,FWD,Silver,Sedan
"Mazda CX-5, 2020",₪ 162 184,16 513 km,1st hand,Gasoline,2.0 l,165 hp,Automatic,FWD,White,SUV 5-doors
"Skoda Octavia, 2014",₪ 45 000,155 000 km,3rd hand,Gasoline,1.2 l,105 hp,Robotic,FWD,Grey,Liftback
"Audi A3, 2007",₪ 30 000,199 000 km,3rd hand,Gasoline,2.0 l,200 hp,Robotic,FWD,Ruby,Hatchback 5-door
"Honda Civic, 2022",₪ 200 000,5 449 km,1st hand,Gasoline,1.5 l,182 hp,Variable,FWD,Brown,Sedan
"Hyundai Sonata, 2018",₪ 100 000,105 000 km,2nd hand,Hybrid,2.0 l,193 hp,Automatic,FWD,Grey,Sedan
"Skoda Superb, 2013",₪ 35 000,268 000 km,2nd hand,Gasoline,1.8 l,160 hp,Robotic,FWD,Bronze,Liftback
"Kia Sportage, 2016",₪ 97 000,96 000 km,1st hand,Gasoline,2.0 l,166 hp,Automatic,FWD,Black,SUV 5-doors
"Hyundai Sonata, 2016",₪ 80 000,153 000 km,3rd hand,Hybrid,2.0 l,193 hp,Automatic,FWD,White,Sedan
"Kia Sportage, 2017",₪ 105 000,90 000 km,2nd hand,Gasoline,2.0 l,155 hp,Automatic,FWD,White,SUV 5-doors
"Chevrolet Malibu, 2011",₪ 22 000,190 000 km,4th hand,Gasoline,2.4 l,167 hp,Automatic,FWD,Black,Sedan
"Suzuki Ignis, 2017",₪ 30 000,178 000 km,1st hand,Gasoline,1.3 l,90 hp,Manual,FWD,Light blue,Mini 5-doors
"Hyundai Sonata, 2016",₪ 85 000,95 000 km,4th hand,Hybrid,2.0 l,193 hp,Automatic,FWD,White,Sedan
"Kia Sportage, 2013",₪ 57 250,92 000 km,2nd hand,Gasoline,2.0 l,163 hp,Automatic,FWD,White,SUV 5-doors
"Skoda Octavia, 2014",₪ 48 000,130 000 km,2nd hand,Gasoline,1.2 l,105 hp,Robotic,FWD,Blue,Liftback
"Kia Sorento, 2004",₪ 20 000,280 000 km,3rd hand,Diesel,2.5 l,140 hp,Automatic,4x4,Silver,SUV 5-doors
"Hyundai IONIQ, 2017",₪ 72 000,150 000 km,3rd hand,Hybrid,1.6 l,141 hp,Robotic,FWD,White,Hatchback 5-door
"Peugeot 2008, 2021",₪ 132 500,134 000 km,1st hand,Gasoline,1.2 l,130 hp,Automatic,FWD,Black,SUV 5-doors
"Toyota Corolla, 2004",₪ 11 800,255 000 km,3rd hand,Gasoline,1.6 l,110 hp,Automatic,FWD,Blue,Sedan
"Ford Edge, 2009",₪ 39 900,154 000 km,4th hand,Gasoline,3.5 l,265 hp,Automatic,4x4,Orange,SUV 5-doors
"Volkswagen Touareg, 2012",₪ 85 000,155 000 km,3rd hand,Diesel,3.0 l,240 hp,Automatic,4x4,Grey,SUV 5-doors
"Volkswagen Golf, 2006",₪ 11 000,196 000 km,3rd hand,Gasoline,1.6 l,115 hp,Automatic,FWD,Light Grey,Hatchback 5-door
"Toyota Corolla, 2017",₪ 77 000,90 000 km,3rd hand,Gasoline,1.6 l,132 hp,Variable,FWD,"White
                            metallic",Sedan
"BMW 1 series, 2012",₪ 55 000,161 000 km,4th hand,Gasoline,1.6 l,136 hp,Automatic,RWD,White,Hatchback 5-door
"Ford Mondeo, 2014",₪ 26 000,155 000 km,2nd hand,Gasoline,2.3 l,161 hp,Automatic,FWD,Black,Sedan
"Volkswagen Touareg, 2008",₪ 50 000,250 000 km,3rd hand,Diesel,3.0 l,225 hp,Automatic,4x4,Grey,SUV 5-doors
"Renault Clio, 2015",₪ 30 000,172 000 km,3rd hand,Gasoline,1.2 l,118 hp,Robotic,FWD,"Brown
                            metallic",Estate 5-door
"Suzuki Swift, 2009",₪ 24 000,134 000 km,3rd hand,Gasoline,1.5 l,101 hp,Automatic,FWD,Grey,Mini 5-doors
"Audi Q7, 2008",₪ 55 000,210 000 km,3rd hand,Diesel,3.0 l,233 hp,Automatic,4x4,Silver,SUV 5-doors
"Kia Niro, 2020",₪ 138 000,27 000 km,1st hand,Hybrid,1.6 l,141 hp,Robotic,FWD,Black,SUV 5-doors
"Mitsubishi Lancer, 2007",₪ 13 000,250 000 km,4th hand,Gasoline,1.6 l,98 hp,Automatic,FWD,Red,Sedan
"Suzuki Swift, 2017",₪ 65 000,142 000 km,1st hand,Gasoline,1.2 l,90 hp,Automatic,FWD,White,Mini 5-doors
"Hyundai i25, 2011",₪ 25 500,200 000 km,1st hand,Gasoline,1.4 l,109 hp,Automatic,FWD,Silver,Sedan
"Audi A5, 2015",₪ 93 000,84 000 km,3rd hand,Gasoline,1.8 l,177 hp,Variable,FWD,"White
                            metallic",Coupe
"Ford Kuga, 2017",₪ 110 000,80 000 km,1st hand,Gasoline,1.5 l,182 hp,Automatic,4x4,Grey,SUV 5-doors
"Hyundai i10, 2011",₪ 15 000,163 000 km,3rd hand,Gasoline,1.1 l,67 hp,Manual,FWD,White,Mini 5-doors
"Audi SQ7, 2017",₪ 369 000,170 000 km,3rd hand,Diesel,4.0 l,435 hp,Automatic,4x4,Light Grey,SUV 5-doors
"Mazda 3, 2007",₪ 12 500,175 000 km,2nd hand,Gasoline,1.6 l,105 hp,Automatic,FWD,Red,Sedan
"Toyota Corolla, 2015",₪ 67 000,90 000 km,2nd hand,Gasoline,1.5 l,103 hp,Variable,4x4,White,Sedan
"Toyota RAV4, 2015",₪ 68 000,210 000 km,2nd hand,Gasoline,2.5 l,179 hp,Automatic,4x4,Bronze,SUV 5-doors
"Toyota Land Cruiser, 2014",₪ 261 316,250 000 km,3rd hand,Diesel,3.0 l,190 hp,Automatic,4x4,White,SUV 5-doors
"Toyota Land Cruiser, 2013",₪ 184 000,300 000 km,3rd hand,Diesel,2.8 l,177 hp,Automatic,4x4,White,SUV 5-doors
"Toyota Land Cruiser, 2015",₪ 301 797,100 000 km,1st hand,Diesel,2.8 l,177 hp,Automatic,4x4,White,SUV 5-doors
"Mitsubishi Lancer, 2016",₪ 41 000,119 500 km,4th hand,Gasoline,1.8 l,140 hp,Variable,FWD,Silver,Hatchback 5-door
"Suzuki Vitara, 2019",₪ 104 000,55 000 km,1st hand,Gasoline,1.4 l,140 hp,Automatic,FWD,White,SUV 5-doors
"Audi Q2, 2020",₪ 160 000,35 000 km,2nd hand,Gasoline,1.5 l,150 hp,Robotic,FWD,White,SUV 5-doors
"Skoda Rapid, 2014",₪ 33 000,176 000 km,3rd hand,Gasoline,1.4 l,122 hp,Robotic,FWD,Silver,Liftback
"Nissan Leaf, 2021",₪ 140 000,750 km,2nd hand,Electro,,150 hp,Automatic,FWD,Grey,Hatchback 5-door
"Mercedes M-Class, 2008",₪ 63 000,180 000 km,2nd hand,Gasoline,3.5 l,272 hp,Automatic,4x4,Black,SUV 5-doors
"Skoda Fabia, 2015",₪ 38 000,215 000 km,1st hand,Gasoline,1.2 l,110 hp,Robotic,FWD,Grey,Hatchback 5-door
"Hyundai Tucson, 2020",₪ 155 000,33 000 km,2nd hand,Gasoline,1.6 l,177 hp,Robotic,FWD,Grey,SUV 5-doors
"Hyundai Tucson, 2017",₪ 110 000,97 000 km,2nd hand,Gasoline,2.0 l,155 hp,Automatic,FWD,Black,SUV 5-doors
"BMW 3 series, 2009",₪ 40 000,170 000 km,3rd hand,Gasoline,2.0 l,136 hp,Automatic,RWD,White,Sedan
"Mazda MPV, 2004",₪ 11 000,200 000 km,4th hand,Gasoline,3.0 l,197 hp,Automatic,FWD,White,Compact Van
"Kia Picanto, 2017",₪ 38 500,100 000 km,2nd hand,Gasoline,1.2 l,85 hp,Automatic,FWD,Silver,Mini 5-doors
"Renault Megane, 2008",₪ 4 800,175 000 km,3rd hand,Gasoline,1.6 l,110 hp,Automatic,FWD,Blue,Sedan
"SEAT Leon, 2016",₪ 45 000,117 000 km,1st hand,Gasoline,1.2 l,105 hp,Robotic,FWD,Black,Estate 5-door
"Honda CR-V, 2009",₪ 35 000,252 000 km,4th hand,Gasoline,2.4 l,166 hp,Automatic,4x4,Silver,SUV 5-doors
"Honda CR-V, 2010",₪ 52 000,173 000 km,3rd hand,Gasoline,2.4 l,166 hp,Automatic,4x4,Bronze,SUV 5-doors
"Kia Sportage, 2015",₪ 67 000,87 000 km,2nd hand,Gasoline,1.6 l,133 hp,Automatic,FWD,Grey,SUV 5-doors
"Mazda 3, 2014",₪ 53 000,124 000 km,3rd hand,Gasoline,1.5 l,120 hp,Automatic,FWD,Black,Sedan
"Kia Sportage, 2016",₪ 98 000,76 000 km,2nd hand,Gasoline,1.6 l,177 hp,Robotic,4x4,White,SUV 5-doors
"Peugeot 3008, 2015",₪ 29 000,171 500 km,4th hand,Gasoline,1.6 l,156 hp,Automatic,FWD,Bronze,SUV 5-doors
"Mazda 3, 2017",₪ 73 000,105 000 km,2nd hand,Gasoline,2.0 l,165 hp,Automatic,FWD,Grey,Hatchback 5-door
"Suzuki Grand Vitara, 2010",₪ 48 000,185 000 km,3rd hand,Gasoline,2.4 l,165 hp,Automatic,4x4,Black,SUV 5-doors
"Mazda 3, 2020",₪ 120 000,43 000 km,1st hand,Gasoline,2.0 l,165 hp,Automatic,FWD,Silver,Hatchback 5-door
"Ford Kuga, 2016",₪ 68 000,64 000 km,2nd hand,Gasoline,1.5 l,182 hp,Automatic,4x4,Silver,SUV 5-doors
"Honda Accord, 2011",₪ 30 000,260 000 km,2nd hand,Gasoline,2.0 l,156 hp,Automatic,FWD,Grey,Sedan
"Ford Mondeo, 2007",₪ 5 900,165 000 km,3rd hand,Gasoline,2.0 l,145 hp,Automatic,FWD,"Blue
                            metallic",Sedan
"SEAT Leon, 2019",₪ 116 000,50 000 km,1st hand,Gasoline,1.5 l,150 hp,Robotic,FWD,Black,Hatchback 5-door
